Gene ID,0 nM,1 nM,5 nM,10 nM,15 nM,20 nM,50 nM,100 nM,500 nM
YML075C,115.3848673,113.3423315,111.1238131,113.17128,118.4005339,121.3922587,126.7707425,130.5202163,128.7585958
YOL035C,0,0,0,0,0.336168353,0,0,0,0
YPL063W,153.3388891,163.282772,159.4504786,163.1248129,167.9031628,167.3560482,147.2742694,141.2202061,134.2599905
YDR457W,68.60555925,72.33732149,67.79573369,68.11124135,75.89883331,71.23732322,75.21662405,77.49199957,78.21134527
YLR273C,9.318969695,11.25393681,8.382351869,8.647889915,7.929841768,8.615599921,10.11186689,9.786104897,9.602174523
YDR181C,20.36681786,24.2938892,20.6140028,17.77227256,16.72140938,20.8495914,19.01793497,19.29191927,19.18390257
YLR434C,5.952461478,3.363563359,9.953150751,11.42932613,14.84407099,16.22132104,12.8444471,11.84879248,9.114255231
YGL097W,81.58474795,82.07222356,83.26476235,72.15104155,61.90930252,62.94816034,58.51714394,58.48339407,56.72342791
YCL056C,41.78505766,36.73278568,54.53966075,53.34504832,67.13607336,81.57662516,80.12726555,82.90449551,82.32477597
YJL083W,12.85339701,13.04933715,9.38328368,10.34967975,10.52166175,10.65002698,10.66065181,11.74906499,12.22524332
YMR242W-A,0,1.809332537,0,0,0,0,0,0,0
YOR026W,30.53203589,34.24845843,27.76336274,23.06159248,14.46081466,14.11520498,9.267878938,10.51508084,9.816196725
YPL140C,22.77065721,23.62488346,25.66256066,26.17499488,21.03927331,21.2206047,18.07955002,19.35298132,20.26369826
YNR016C,771.2714752,875.4671894,783.0153433,786.0781566,783.6242337,715.2568527,679.5537334,673.4523041,643.1048478
YER123W,66.62672574,63.12317511,66.46120018,61.49293727,62.56490302,63.96496256,59.92199363,54.16214457,47.35577362
YGR055W,213.8057055,232.2987771,235.3096049,245.7297751,213.2921903,222.0466999,209.2890078,218.0579633,222.2518664
YKR054C,30.96654617,33.36551847,24.65778033,21.60550363,19.24121639,19.56102075,17.31860471,16.36190015,18.54705483
YMR315W,105.0099527,120.811324,118.992083,131.4945121,148.4614305,139.382999,172.7886569,230.6742703,258.9735409
YAL024C,19.17591678,21.98420951,18.15451343,17.75229718,10.37150006,11.26320833,10.2797328,10.48009365,11.29911719
YKL202W,7.312744687,9.700638302,5.950855092,5.190299832,4.892667115,3.222616911,7.0073095,4.184368872,6.715038505
YKL187C,6.350141268,5.934964233,5.826184448,5.226655424,4.147469593,5.215222403,4.481926912,5.757533012,4.559032172
YDR383C,20.11752106,15.29340854,17.70573319,17.93361303,16.0224598,16.52204921,21.32287091,24.56018036,35.56146972
